ADM0_A3,NAME_EN,FORMAL_EN
IDN,Indonesia,Republic of Indonesia
MYS,Malaysia,Malaysia
CHL,Chile,Republic of Chile
BOL,Bolivia,Plurinational State of Bolivia
PER,Peru,Republic of Peru
ARG,Argentina,Argentine Republic
CYP,Cyprus,Republic of Cyprus
IND,India,Republic of India
CHN,People's Republic of China,People's Republic of China
ISR,Israel,State of Israel
PSX,Palestine,West Bank and Gaza
LBN,Lebanon,Lebanese Republic
ETH,Ethiopia,Federal Democratic Republic of Ethiopia
SDS,South Sudan,Republic of South Sudan
SOM,Somalia,Federal Republic of Somalia
KEN,Kenya,Republic of Kenya
PAK,Pakistan,Islamic Republic of Pakistan
MWI,Malawi,Republic of Malawi
TZA,Tanzania,United Republic of Tanzania
SYR,Syria,Syrian Arab Republic
SOL,Somaliland,Republic of Somaliland
FRA,France,French Republic
SUR,Suriname,Republic of Suriname
GUY,Guyana,Co-operative Republic of Guyana
KOR,South Korea,Republic of Korea
PRK,North Korea,Democratic People's Republic of Korea
MAR,Morocco,Kingdom of Morocco
SAH,Western Sahara,Sahrawi Arab Democratic Republic
CRI,Costa Rica,Republic of Costa Rica
NIC,Nicaragua,Republic of Nicaragua
COG,Republic of the Congo,Republic of the Congo
COD,Democratic Republic of the Congo,Democratic Republic of the Congo
BTN,Bhutan,Kingdom of Bhutan
UKR,Ukraine,Ukraine
BLR,Belarus,Republic of Belarus
NAM,Namibia,Republic of Namibia
ZAF,South Africa,Republic of South Africa
MAF,Saint Martin,Saint-Martin (French part)
SXM,Sint Maarten,Sint Maarten (Dutch part)
OMN,Oman,Sultanate of Oman
UZB,Uzbekistan,Republic of Uzbekistan
KAZ,Kazakhstan,Republic of Kazakhstan
TJK,Tajikistan,Republic of Tajikistan
LTU,Lithuania,Republic of Lithuania
BRA,Brazil,Federative Republic of Brazil
URY,Uruguay,Oriental Republic of Uruguay
MNG,Mongolia,Mongolia
RUS,Russia,Russian Federation
CZE,Czech Republic,Czech Republic
DEU,Germany,Federal Republic of Germany
EST,Estonia,Republic of Estonia
LVA,Latvia,Republic of Latvia
NOR,Norway,Kingdom of Norway
SWE,Sweden,Kingdom of Sweden
FIN,Finland,Republic of Finland
VNM,Vietnam,Socialist Republic of Vietnam
KHM,Cambodia,Kingdom of Cambodia
LUX,Luxembourg,Grand Duchy of Luxembourg
ARE,United Arab Emirates,United Arab Emirates
BEL,Belgium,Kingdom of Belgium
GEO,Georgia,Georgia
MKD,Republic of Macedonia,Former Yugoslav Republic of Macedonia
ALB,Albania,Republic of Albania
AZE,Azerbaijan,Republic of Azerbaijan
KOS,Kosovo,Republic of Kosovo
TUR,Turkey,Republic of Turkey
ESP,Spain,Kingdom of Spain
LAO,Laos,Lao People's Democratic Republic
KGZ,Kyrgyzstan,Kyrgyz Republic
ARM,Armenia,Republic of Armenia
DNK,Denmark,Kingdom of Denmark
LBY,Libya,Libya
TUN,Tunisia,Republic of Tunisia
ROU,Romania,Romania
HUN,Hungary,Republic of Hungary
SVK,Slovakia,Slovak Republic
POL,Poland,Republic of Poland
IRL,Ireland,Ireland
GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland
GRC,Greece,Hellenic Republic
ZMB,Zambia,Republic of Zambia
SLE,Sierra Leone,Republic of Sierra Leone
GIN,Guinea,Republic of Guinea
LBR,Liberia,Republic of Liberia
CAF,Central African Republic,Central African Republic
SDN,Sudan,Republic of the Sudan
DJI,Djibouti,Republic of Djibouti
ERI,Eritrea,State of Eritrea
AUT,Austria,Republic of Austria
IRQ,Iraq,Republic of Iraq
ITA,Italy,Italian Republic
CHE,Switzerland,Swiss Confederation
IRN,Iran,Islamic Republic of Iran
NLD,Netherlands,Kingdom of the Netherlands
LIE,Liechtenstein,Principality of Liechtenstein
CIV,Ivory Coast,Republic of Ivory Coast
SRB,Serbia,Republic of Serbia
MLI,Mali,Republic of Mali
SEN,Senegal,Republic of Senegal
NGA,Nigeria,Federal Republic of Nigeria
BEN,Benin,Republic of Benin
AGO,Angola,People's Republic of Angola
